点号,相对时间(微秒),  1:010AUA(V),  2:010AUB(V),  3:010AUC(V),  4:010AU0(V),  5:010BIA(A),  6:010BIB(A),  7:010BIC(A),  8:010BI0(A)
67,-68328.000,-0.180000,6.930000,-4.050000,0.900000,-0.170000,1.330000,-1.120000,0.010000
68,-68172.000,-0.510000,7.050000,-3.830000,0.900000,-0.250000,1.370000,-1.080000,0.010000
69,-68016.000,-0.830000,7.140000,-3.580000,0.910000,-0.330000,1.410000,-1.040000,0.010000
70,-67860.000,-1.140000,7.170000,-3.330000,0.900000,-0.410000,1.450000,-1.010000,0.010000
71,-67704.000,-1.430000,7.160000,-3.040000,0.890000,-0.470000,1.470000,-0.980000,0.000000
72,-67548.000,-1.720000,7.130000,-2.750000,0.880000,-0.520000,1.490000,-0.930000,0.010000
73,-67392.000,-2.010000,7.100000,-2.470000,0.870000,-0.570000,1.490000,-0.890000,0.010000
74,-67236.000,-2.290000,7.080000,-2.180000,0.870000,-0.630000,1.490000,-0.840000,0.000000
75,-67080.000,-2.570000,7.050000,-1.910000,0.850000,-0.680000,1.490000,-0.790000,0.000000
76,-66924.000,-2.830000,7.000000,-1.650000,0.840000,-0.740000,1.510000,-0.750000,0.000000
77,-66768.000,-3.070000,6.950000,-1.390000,0.830000,-0.800000,1.530000,-0.700000,0.010000
78,-66612.000,-3.330000,6.880000,-1.120000,0.810000,-0.860000,1.550000,-0.670000,0.000000
79,-66456.000,-3.570000,6.790000,-0.840000,0.790000,-0.920000,1.560000,-0.630000,0.000000
80,-66300.000,-3.830000,6.680000,-0.560000,0.760000,-0.970000,1.560000,-0.570000,0.000000
81,-66144.000,-4.060000,6.560000,-0.280000,0.740000,-1.020000,1.550000,-0.510000,0.000000
82,-65988.000,-4.290000,6.440000,0.030000,0.720000,-1.070000,1.520000,-0.440000,0.000000
83,-65832.000,-4.520000,6.310000,0.310000,0.700000,-1.110000,1.490000,-0.370000,0.000000
84,-65676.000,-4.750000,6.150000,0.610000,0.670000,-1.150000,1.450000,-0.280000,0.000000
85,-65520.000,-4.960000,5.950000,0.910000,0.630000,-1.200000,1.400000,-0.200000,0.000000
86,-65364.000,-5.140000,5.760000,1.190000,0.600000,-1.230000,1.330000,-0.090000,0.000000
87,-65208.000,-5.310000,5.560000,1.470000,0.570000,-1.270000,1.270000,0.000000,0.000000
88,-65052.000,-5.480000,5.340000,1.750000,0.530000,-1.300000,1.210000,0.070000,0.000000
89,-64896.000,-5.640000,5.100000,2.050000,0.500000,-1.330000,1.170000,0.150000,0.000000
90,-64740.000,-5.780000,4.850000,2.340000,0.470000,-1.370000,1.140000,0.230000,0.000000
91,-64584.000,-5.900000,4.570000,2.600000,0.420000,-1.420000,1.090000,0.310000,0.000000
92,-64428.000,-5.970000,4.280000,2.860000,0.390000,-1.460000,1.060000,0.390000,0.000000
93,-64272.000,-6.040000,3.940000,3.130000,0.340000,-1.490000,1.010000,0.450000,-0.010000
94,-64116.000,-6.100000,3.610000,3.390000,0.300000,-1.510000,0.980000,0.500000,-0.010000
95,-63960.000,-6.140000,3.270000,3.650000,0.260000,-1.520000,0.930000,0.560000,-0.010000
96,-63804.000,-6.170000,2.940000,3.880000,0.210000,-1.530000,0.880000,0.630000,0.000000
97,-63648.000,-6.190000,2.630000,4.090000,0.170000,-1.540000,0.820000,0.690000,-0.010000
98,-63492.000,-6.190000,2.320000,4.280000,0.130000,-1.550000,0.770000,0.740000,-0.010000
99,-63336.000,-6.210000,2.000000,4.480000,0.090000,-1.560000,0.730000,0.790000,-0.010000
100,-63180.000,-6.190000,1.680000,4.680000,0.050000,-1.570000,0.690000,0.840000,-0.010000
101,-63024.000,-6.170000,1.330000,4.860000,0.000000,-1.560000,0.620000,0.900000,-0.010000
102,-62868.000,-6.130000,1.000000,5.020000,-0.030000,-1.550000,0.560000,0.950000,-0.010000
103,-62712.000,-6.080000,0.650000,5.180000,-0.080000,-1.530000,0.490000,1.000000,-0.010000
104,-62556.000,-6.020000,0.320000,5.330000,-0.120000,-1.490000,0.410000,1.040000,-0.010000
105,-62400.000,-5.950000,-0.010000,5.470000,-0.160000,-1.440000,0.330000,1.070000,-0.010000
106,-62244.000,-5.860000,-0.380000,5.570000,-0.220000,-1.380000,0.230000,1.110000,-0.010000
107,-62088.000,-5.740000,-0.730000,5.660000,-0.270000,-1.310000,0.130000,1.150000,-0.010000
108,-61932.000,-5.620000,-1.070000,5.770000,-0.300000,-1.240000,0.020000,1.180000,-0.010000
109,-61776.000,-5.480000,-1.410000,5.840000,-0.350000,-1.180000,-0.070000,1.220000,-0.010000
110,-61620.000,-5.320000,-1.780000,5.930000,-0.390000,-1.120000,-0.160000,1.240000,-0.010000
111,-61464.000,-5.160000,-2.130000,5.980000,-0.430000,-1.070000,-0.240000,1.270000,-0.010000
112,-61308.000,-4.970000,-2.480000,6.020000,-0.470000,-1.020000,-0.320000,1.300000,-0.010000
113,-61152.000,-4.760000,-2.790000,6.010000,-0.510000,-0.980000,-0.390000,1.330000,-0.010000
114,-60996.000,-4.540000,-3.100000,5.990000,-0.550000,-0.950000,-0.450000,1.370000,-0.010000
115,-60840.000,-4.290000,-3.420000,5.950000,-0.580000,-0.910000,-0.500000,1.380000,-0.010000
116,-60684.000,-4.040000,-3.710000,5.910000,-0.610000,-0.870000,-0.550000,1.390000,-0.010000
117,-60528.000,-3.770000,-3.990000,5.850000,-0.630000,-0.830000,-0.610000,1.400000,-0.010000
118,-60372.000,-3.530000,-4.260000,5.800000,-0.660000,-0.780000,-0.680000,1.420000,-0.010000
119,-60216.000,-3.290000,-4.520000,5.720000,-0.690000,-0.740000,-0.740000,1.440000,-0.010000
120,-60060.000,-3.040000,-4.750000,5.640000,-0.710000,-0.700000,-0.800000,1.460000,-0.010000
121,-59904.000,-2.780000,-5.010000,5.560000,-0.740000,-0.660000,-0.860000,1.480000,-0.010000
122,-59748.000,-2.500000,-5.250000,5.480000,-0.750000,-0.600000,-0.930000,1.490000,-0.010000
123,-59592.000,-2.230000,-5.480000,5.360000,-0.780000,-0.540000,-0.990000,1.490000,-0.010000
124,-59436.000,-1.940000,-5.700000,5.240000,-0.800000,-0.470000,-1.040000,1.470000,-0.010000
125,-59280.000,-1.650000,-5.930000,5.100000,-0.820000,-0.400000,-1.090000,1.440000,-0.010000
126,-59124.000,-1.350000,-6.120000,4.960000,-0.830000,-0.300000,-1.130000,1.390000,-0.010000
127,-58968.000,-1.040000,-6.320000,4.800000,-0.850000,-0.210000,-1.170000,1.340000,-0.010000
128,-58812.000,-0.730000,-6.480000,4.610000,-0.860000,-0.110000,-1.200000,1.270000,-0.010000
129,-58656.000,-0.430000,-6.630000,4.450000,-0.870000,-0.010000,-1.240000,1.210000,-0.010000
130,-58500.000,-0.120000,-6.750000,4.260000,-0.870000,0.080000,-1.260000,1.150000,-0.010000
131,-58344.000,0.190000,-6.890000,4.050000,-0.880000,0.150000,-1.290000,1.100000,-0.010000
132,-58188.000,0.540000,-7.020000,3.830000,-0.880000,0.220000,-1.320000,1.060000,-0.010000
133,-58032.000,0.860000,-7.160000,3.580000,-0.900000,0.300000,-1.360000,1.030000,-0.010000
134,-57876.000,1.160000,-7.180000,3.320000,-0.900000,0.370000,-1.400000,1.000000,-0.010000
135,-57720.000,1.460000,-7.170000,3.050000,-0.880000,0.440000,-1.430000,0.970000,0.000000
136,-57564.000,1.760000,-7.150000,2.760000,-0.870000,0.480000,-1.450000,0.930000,-0.010000
137,-57408.000,2.060000,-7.130000,2.470000,-0.860000,0.530000,-1.450000,0.880000,-0.010000
138,-57252.000,2.350000,-7.120000,2.190000,-0.860000,0.590000,-1.450000,0.830000,-0.010000
139,-57096.000,2.640000,-7.070000,1.920000,-0.830000,0.650000,-1.460000,0.790000,0.000000
140,-56940.000,2.850000,-7.020000,1.640000,-0.840000,0.700000,-1.480000,0.740000,-0.010000
141,-56784.000,3.090000,-6.940000,1.390000,-0.820000,0.770000,-1.500000,0.700000,-0.010000
142,-56628.000,3.350000,-6.890000,1.110000,-0.810000,0.830000,-1.520000,0.670000,0.000000
143,-56472.000,3.600000,-6.820000,0.830000,-0.790000,0.890000,-1.530000,0.610000,-0.010000
144,-56316.000,3.840000,-6.710000,0.550000,-0.770000,0.950000,-1.530000,0.560000,0.000000
145,-56160.000,4.070000,-6.590000,0.270000,-0.750000,1.000000,-1.520000,0.500000,0.000000
146,-56004.000,4.310000,-6.470000,-0.020000,-0.720000,1.050000,-1.500000,0.440000,0.000000
147,-55848.000,4.540000,-6.340000,-0.320000,-0.700000,1.090000,-1.470000,0.370000,0.000000
148,-55692.000,4.760000,-6.170000,-0.620000,-0.670000,1.130000,-1.430000,0.290000,0.000000
149,-55536.000,4.960000,-5.980000,-0.910000,-0.640000,1.170000,-1.370000,0.200000,0.000000
150,-55380.000,5.130000,-5.790000,-1.200000,-0.620000,1.200000,-1.320000,0.110000,0.000000
151,-55224.000,5.310000,-5.600000,-1.480000,-0.590000,1.230000,-1.250000,0.020000,0.000000
152,-55068.000,5.470000,-5.370000,-1.760000,-0.550000,1.250000,-1.190000,-0.050000,0.000000
153,-54912.000,5.630000,-5.140000,-2.040000,-0.510000,1.280000,-1.150000,-0.120000,0.000000
154,-54756.000,5.780000,-4.880000,-2.330000,-0.470000,1.320000,-1.100000,-0.200000,0.000000
155,-54600.000,5.900000,-4.620000,-2.590000,-0.430000,1.360000,-1.070000,-0.280000,0.000000
156,-54444.000,5.980000,-4.320000,-2.840000,-0.390000,1.400000,-1.030000,-0.350000,0.000000
157,-54288.000,6.020000,-3.990000,-3.080000,-0.350000,1.420000,-1.000000,-0.410000,0.000000
158,-54132.000,6.070000,-3.640000,-3.320000,-0.290000,1.450000,-0.960000,-0.470000,0.000000
159,-53976.000,6.120000,-3.300000,-3.580000,-0.250000,1.450000,-0.920000,-0.510000,0.000000
160,-53820.000,6.150000,-2.970000,-3.800000,-0.200000,1.470000,-0.870000,-0.580000,0.000000
161,-53664.000,6.180000,-2.660000,-4.020000,-0.160000,1.480000,-0.810000,-0.630000,0.010000
162,-53508.000,6.190000,-2.350000,-4.220000,-0.120000,1.500000,-0.770000,-0.700000,0.010000
163,-53352.000,6.180000,-2.040000,-4.400000,-0.080000,1.510000,-0.730000,-0.750000,0.010000
164,-53196.000,6.170000,-1.710000,-4.620000,-0.050000,1.520000,-0.690000,-0.810000,0.000000
165,-53040.000,6.150000,-1.370000,-4.820000,-0.010000,1.530000,-0.640000,-0.850000,0.010000
166,-52884.000,6.120000,-1.030000,-4.990000,0.030000,1.520000,-0.580000,-0.910000,0.010000
167,-52728.000,6.070000,-0.700000,-5.140000,0.070000,1.500000,-0.510000,-0.950000,0.010000
168,-52572.000,5.990000,-0.360000,-5.290000,0.110000,1.460000,-0.430000,-0.990000,0.010000
169,-52416.000,5.930000,-0.020000,-5.420000,0.160000,1.410000,-0.350000,-1.030000,0.010000
170,-52260.000,5.830000,0.340000,-5.560000,0.200000,1.350000,-0.260000,-1.060000,0.010000
171,-52104.000,5.730000,0.700000,-5.680000,0.250000,1.290000,-0.150000,-1.090000,0.010000
172,-51948.000,5.610000,1.040000,-5.770000,0.290000,1.220000,-0.060000,-1.120000,0.010000
173,-51792.000,5.470000,1.390000,-5.850000,0.330000,1.160000,0.030000,-1.160000,0.010000
174,-51636.000,5.310000,1.760000,-5.930000,0.380000,1.090000,0.120000,-1.190000,0.000000
175,-51480.000,5.140000,2.120000,-6.000000,0.420000,1.040000,0.210000,-1.230000,0.000000
176,-51324.000,4.950000,2.470000,-6.010000,0.470000,0.990000,0.300000,-1.260000,0.010000
177,-51168.000,4.750000,2.800000,-6.020000,0.510000,0.950000,0.380000,-1.290000,0.010000
178,-51012.000,4.510000,3.110000,-6.000000,0.540000,0.910000,0.440000,-1.330000,0.000000
179,-50856.000,4.270000,3.450000,-5.970000,0.580000,0.880000,0.490000,-1.340000,0.010000
180,-50700.000,4.020000,3.730000,-5.920000,0.610000,0.840000,0.550000,-1.360000,0.010000
181,-50544.000,3.760000,4.020000,-5.870000,0.630000,0.800000,0.610000,-1.370000,0.010000
182,-50388.000,3.510000,4.290000,-5.800000,0.660000,0.760000,0.660000,-1.390000,0.010000
183,-50232.000,3.250000,4.560000,-5.720000,0.690000,0.720000,0.720000,-1.400000,0.010000
184,-50076.000,3.010000,4.790000,-5.640000,0.720000,0.670000,0.780000,-1.410000,0.010000
185,-49920.000,2.750000,5.050000,-5.580000,0.740000,0.630000,0.830000,-1.420000,0.010000
186,-49764.000,2.490000,5.300000,-5.490000,0.760000,0.580000,0.900000,-1.440000,0.010000
187,-49608.000,2.210000,5.530000,-5.370000,0.790000,0.520000,0.950000,-1.430000,0.010000
188,-49452.000,1.930000,5.750000,-5.260000,0.800000,0.460000,1.000000,-1.420000,0.010000
189,-49296.000,1.630000,5.970000,-5.120000,0.820000,0.380000,1.040000,-1.390000,0.010000
190,-49140.000,1.330000,6.180000,-4.970000,0.840000,0.290000,1.090000,-1.350000,0.010000
191,-48984.000,1.020000,6.360000,-4.810000,0.850000,0.190000,1.130000,-1.290000,0.010000
192,-48828.000,0.720000,6.530000,-4.640000,0.870000,0.090000,1.170000,-1.230000,0.010000
193,-48672.000,0.430000,6.660000,-4.450000,0.880000,0.000000,1.190000,-1.170000,0.000000
194,-48516.000,0.140000,6.780000,-4.270000,0.880000,-0.080000,1.230000,-1.110000,0.010000
195,-48360.000,-0.170000,6.920000,-4.050000,0.900000,-0.160000,1.260000,-1.070000,0.010000
196,-48204.000,-0.500000,7.040000,-3.830000,0.900000,-0.230000,1.290000,-1.040000,0.000000
197,-48048.000,-0.830000,7.130000,-3.590000,0.900000,-0.300000,1.320000,-1.000000,0.000000
198,-47892.000,-1.140000,7.170000,-3.330000,0.900000,-0.370000,1.370000,-0.970000,0.010000
199,-47736.000,-1.420000,7.150000,-3.060000,0.890000,-0.430000,1.400000,-0.930000,0.010000
200,-47580.000,-1.710000,7.120000,-2.760000,0.880000,-0.490000,1.410000,-0.900000,0.000000
201,-47424.000,-2.000000,7.090000,-2.470000,0.870000,-0.540000,1.420000,-0.860000,0.000000
202,-47268.000,-2.290000,7.070000,-2.190000,0.860000,-0.580000,1.420000,-0.810000,0.010000
203,-47112.000,-2.560000,7.040000,-1.910000,0.850000,-0.640000,1.430000,-0.770000,0.000000
204,-46956.000,-2.820000,7.000000,-1.660000,0.840000,-0.700000,1.450000,-0.730000,0.000000
205,-46800.000,-3.060000,6.950000,-1.400000,0.830000,-0.760000,1.480000,-0.690000,0.010000
206,-46644.000,-3.320000,6.860000,-1.130000,0.800000,-0.830000,1.500000,-0.660000,0.000000
207,-46488.000,-3.560000,6.780000,-0.860000,0.780000,-0.880000,1.520000,-0.620000,0.000000
208,-46332.000,-3.810000,6.670000,-0.570000,0.760000,-0.930000,1.520000,-0.570000,0.000000
209,-46176.000,-4.040000,6.560000,-0.290000,0.740000,-0.970000,1.500000,-0.520000,0.000000
210,-46020.000,-4.280000,6.450000,0.010000,0.720000,-1.020000,1.470000,-0.450000,0.000000
211,-45864.000,-4.520000,6.320000,0.290000,0.690000,-1.060000,1.450000,-0.370000,0.000000
212,-45708.000,-4.730000,6.150000,0.600000,0.670000,-1.100000,1.400000,-0.290000,0.000000
213,-45552.000,-4.940000,5.970000,0.880000,0.630000,-1.140000,1.340000,-0.200000,0.000000
214,-45396.000,-5.140000,5.770000,1.180000,0.600000,-1.170000,1.280000,-0.100000,0.000000
215,-45240.000,-5.300000,5.560000,1.460000,0.570000,-1.200000,1.200000,-0.010000,0.000000
216,-45084.000,-5.470000,5.330000,1.740000,0.530000,-1.230000,1.150000,0.060000,0.000000
217,-44928.000,-5.640000,5.110000,2.040000,0.500000,-1.250000,1.090000,0.130000,-0.010000
218,-44772.000,-5.780000,4.860000,2.320000,0.460000,-1.280000,1.060000,0.210000,0.000000
219,-44616.000,-5.900000,4.580000,2.600000,0.420000,-1.330000,1.020000,0.280000,-0.010000
220,-44460.000,-5.970000,4.290000,2.850000,0.390000,-1.360000,1.000000,0.350000,0.000000
221,-44304.000,-6.040000,3.950000,3.110000,0.340000,-1.400000,0.960000,0.410000,-0.010000
222,-44148.000,-6.090000,3.620000,3.360000,0.290000,-1.410000,0.930000,0.460000,0.000000
223,-43992.000,-5.880000,3.150000,3.500000,0.250000,-1.460000,0.890000,0.530000,-0.010000
224,-43836.000,-5.870000,3.300000,4.090000,0.500000,-2.440000,0.950000,0.700000,-0.260000
225,-43680.000,-5.590000,2.950000,4.230000,0.530000,-3.670000,0.460000,0.390000,-0.940000
226,-43524.000,-5.220000,2.670000,4.440000,0.630000,-4.870000,0.170000,0.240000,-1.480000
227,-43368.000,-5.080000,2.640000,4.860000,0.800000,-5.980000,0.110000,0.290000,-1.860000
228,-43212.000,-4.900000,2.420000,5.160000,0.890000,-6.860000,0.030000,0.280000,-2.180000
229,-43056.000,-4.690000,2.420000,5.620000,1.110000,-7.610000,0.210000,0.530000,-2.290000
230,-42900.000,-4.530000,2.390000,6.020000,1.290000,-7.900000,0.300000,0.690000,-2.300000
231,-42744.000,-4.350000,2.330000,6.390000,1.450000,-7.880000,0.410000,0.880000,-2.190000
232,-42588.000,-4.210000,2.290000,6.750000,1.610000,-7.610000,0.540000,1.100000,-1.990000
233,-42432.000,-4.080000,2.170000,7.040000,1.710000,-7.070000,0.560000,1.260000,-1.750000
234,-42276.000,-3.920000,2.060000,7.310000,1.810000,-6.290000,0.600000,1.420000,-1.420000
235,-42120.000,-3.780000,1.860000,7.480000,1.850000,-5.270000,0.550000,1.530000,-1.060000
236,-41964.000,-3.630000,1.580000,7.590000,1.840000,-4.140000,0.470000,1.620000,-0.680000
237,-41808.000,-3.520000,1.270000,7.680000,1.810000,-2.940000,0.370000,1.720000,-0.280000
238,-41652.000,-3.240000,0.880000,7.700000,1.780000,-1.920000,0.260000,1.850000,0.060000
239,-41496.000,-3.030000,0.530000,7.770000,1.750000,-1.350000,0.050000,1.910000,0.200000
240,-41340.000,-2.830000,0.110000,7.820000,1.700000,-1.100000,-0.310000,1.830000,0.140000
241,-41184.000,-2.600000,-0.310000,7.790000,1.620000,-1.000000,-0.650000,1.730000,0.020000
242,-41028.000,-2.400000,-0.720000,7.740000,1.540000,-0.890000,-0.860000,1.690000,-0.020000
243,-40872.000,-2.140000,-1.170000,7.620000,1.430000,-0.740000,-0.970000,1.670000,-0.010000
244,-40716.000,-1.890000,-1.560000,7.540000,1.360000,-0.590000,-0.970000,1.700000,0.040000
245,-40560.000,-1.630000,-1.920000,7.450000,1.300000,-0.470000,-0.940000,1.680000,0.090000
246,-40404.000,-1.400000,-2.250000,7.360000,1.230000,-0.450000,-0.940000,1.610000,0.070000
247,-40248.000,-1.190000,-2.600000,7.230000,1.140000,-0.490000,-0.950000,1.510000,0.020000
248,-40092.000,-0.990000,-2.900000,7.080000,1.060000,-0.520000,-0.920000,1.440000,0.000000
249,-39936.000,-0.790000,-3.230000,6.940000,0.970000,-0.530000,-0.860000,1.430000,0.010000
250,-39780.000,-0.580000,-3.520000,6.780000,0.890000,-0.520000,-0.810000,1.440000,0.030000
251,-39624.000,-0.370000,-3.800000,6.620000,0.810000,-0.500000,-0.820000,1.460000,0.040000
252,-39468.000,-0.170000,-4.060000,6.430000,0.730000,-0.450000,-0.870000,1.450000,0.040000
253,-39312.000,0.020000,-4.410000,6.240000,0.610000,-0.380000,-0.980000,1.420000,0.020000
254,-39156.000,0.240000,-4.680000,6.030000,0.530000,-0.260000,-1.100000,1.370000,0.000000
255,-39000.000,0.450000,-4.970000,5.800000,0.420000,-0.110000,-1.200000,1.330000,0.000000
256,-38844.000,0.690000,-5.230000,5.560000,0.340000,0.040000,-1.280000,1.290000,0.010000
257,-38688.000,0.910000,-5.480000,5.320000,0.250000,0.190000,-1.340000,1.230000,0.020000
258,-38532.000,1.130000,-5.700000,5.050000,0.160000,0.330000,-1.390000,1.140000,0.020000
259,-38376.000,1.370000,-5.950000,4.770000,0.060000,0.410000,-1.430000,1.050000,0.010000
260,-38220.000,1.620000,-6.190000,4.470000,-0.030000,0.500000,-1.460000,0.970000,0.000000
261,-38064.000,1.870000,-6.420000,4.150000,-0.130000,0.570000,-1.470000,0.930000,0.010000
262,-37908.000,2.090000,-6.570000,3.790000,-0.230000,0.640000,-1.480000,0.890000,0.010000
263,-37752.000,2.290000,-6.670000,3.420000,-0.320000,0.680000,-1.490000,0.860000,0.010000
264,-37596.000,2.490000,-6.750000,3.040000,-0.400000,0.710000,-1.490000,0.820000,0.010000
265,-37440.000,2.680000,-6.840000,2.660000,-0.500000,0.720000,-1.480000,0.780000,0.000000
266,-37284.000,2.860000,-6.930000,2.290000,-0.590000,0.750000,-1.480000,0.740000,0.000000
267,-37128.000,3.030000,-7.000000,1.920000,-0.680000,0.790000,-1.480000,0.710000,0.000000
