点号,相对时间(微秒),  1:010AUA(V),  2:010AUB(V),  3:010AUC(V),  4:010AU0(V),  5:010BIA(A),  6:010BIB(A),  7:010BIC(A),  8:010BI0(A)
32,-75192.000,0.460000,-6.920000,3.810000,-0.880000,-0.190000,-1.700000,1.840000,-0.010000
33,-75036.000,0.790000,-6.970000,3.540000,-0.880000,-0.050000,-1.780000,1.790000,-0.010000
34,-74880.000,1.110000,-7.000000,3.270000,-0.870000,0.080000,-1.870000,1.730000,-0.020000
35,-74724.000,1.420000,-6.980000,2.980000,-0.860000,0.230000,-1.940000,1.660000,-0.010000
36,-74568.000,1.750000,-6.960000,2.670000,-0.840000,0.350000,-1.990000,1.590000,-0.010000
37,-74412.000,2.040000,-6.910000,2.380000,-0.830000,0.450000,-2.010000,1.510000,-0.010000
38,-74256.000,2.370000,-6.920000,2.080000,-0.820000,0.530000,-2.020000,1.440000,-0.010000
39,-74100.000,2.650000,-6.890000,1.820000,-0.800000,0.610000,-2.040000,1.380000,-0.010000
40,-73944.000,2.920000,-6.830000,1.540000,-0.790000,0.700000,-2.080000,1.340000,-0.010000
41,-73788.000,3.170000,-6.770000,1.270000,-0.770000,0.770000,-2.130000,1.310000,-0.010000
42,-73632.000,3.430000,-6.700000,1.000000,-0.750000,0.860000,-2.160000,1.250000,-0.010000
43,-73476.000,3.640000,-6.630000,0.740000,-0.750000,0.940000,-2.180000,1.200000,-0.010000
44,-73320.000,3.870000,-6.540000,0.450000,-0.740000,1.020000,-2.180000,1.130000,-0.010000
45,-73164.000,4.110000,-6.440000,0.190000,-0.710000,1.100000,-2.180000,1.050000,-0.010000
46,-73008.000,4.340000,-6.310000,-0.080000,-0.680000,1.200000,-2.180000,0.960000,0.000000
47,-72852.000,4.530000,-6.160000,-0.360000,-0.660000,1.290000,-2.190000,0.860000,-0.010000
48,-72696.000,4.720000,-5.980000,-0.630000,-0.630000,1.390000,-2.190000,0.770000,-0.010000
49,-72540.000,4.930000,-5.820000,-0.920000,-0.600000,1.470000,-2.160000,0.680000,0.000000
50,-72384.000,5.110000,-5.660000,-1.200000,-0.580000,1.530000,-2.120000,0.580000,0.000000
51,-72228.000,5.270000,-5.480000,-1.430000,-0.540000,1.580000,-2.060000,0.470000,0.000000
52,-72072.000,5.430000,-5.280000,-1.700000,-0.510000,1.620000,-1.990000,0.360000,0.000000
53,-71916.000,5.580000,-5.070000,-1.960000,-0.480000,1.680000,-1.940000,0.260000,0.000000
54,-71760.000,5.710000,-4.780000,-2.260000,-0.440000,1.750000,-1.880000,0.140000,0.000000
55,-71604.000,5.810000,-4.470000,-2.550000,-0.400000,1.840000,-1.830000,0.000000,0.000000
56,-71448.000,5.870000,-4.130000,-2.810000,-0.350000,1.930000,-1.760000,-0.140000,0.010000
57,-71292.000,5.930000,-3.780000,-3.080000,-0.310000,2.010000,-1.690000,-0.280000,0.010000
58,-71136.000,5.940000,-3.450000,-3.280000,-0.260000,2.050000,-1.620000,-0.400000,0.010000
59,-70980.000,6.010000,-3.120000,-3.540000,-0.210000,2.070000,-1.540000,-0.490000,0.010000
60,-70824.000,6.060000,-2.820000,-3.770000,-0.170000,2.080000,-1.480000,-0.570000,0.010000
61,-70668.000,6.090000,-2.500000,-3.990000,-0.130000,2.110000,-1.430000,-0.640000,0.010000
62,-70512.000,6.090000,-2.210000,-4.170000,-0.090000,2.140000,-1.390000,-0.710000,0.010000
63,-70356.000,6.080000,-1.870000,-4.380000,-0.050000,2.170000,-1.350000,-0.780000,0.010000
64,-70200.000,6.080000,-1.540000,-4.570000,-0.010000,2.200000,-1.290000,-0.860000,0.010000
65,-70044.000,6.060000,-1.220000,-4.750000,0.030000,2.200000,-1.210000,-0.950000,0.010000
66,-69888.000,6.020000,-0.900000,-4.910000,0.070000,2.200000,-1.110000,-1.040000,0.010000
67,-69732.000,5.970000,-0.580000,-5.090000,0.100000,2.200000,-1.010000,-1.140000,0.010000
68,-69576.000,5.910000,-0.270000,-5.240000,0.130000,2.210000,-0.930000,-1.230000,0.010000
69,-69420.000,5.810000,0.050000,-5.340000,0.170000,2.200000,-0.840000,-1.310000,0.010000
70,-69264.000,5.730000,0.400000,-5.470000,0.220000,2.180000,-0.750000,-1.380000,0.010000
71,-69108.000,5.620000,0.740000,-5.590000,0.250000,2.130000,-0.640000,-1.430000,0.020000
72,-68952.000,5.520000,1.060000,-5.680000,0.300000,2.060000,-0.510000,-1.480000,0.020000
73,-68796.000,5.390000,1.350000,-5.750000,0.330000,1.980000,-0.380000,-1.530000,0.020000
74,-68640.000,5.250000,1.690000,-5.830000,0.370000,1.920000,-0.270000,-1.600000,0.010000
75,-68484.000,5.080000,2.030000,-5.870000,0.410000,1.860000,-0.150000,-1.650000,0.020000
76,-68328.000,4.880000,2.390000,-5.910000,0.450000,1.810000,-0.020000,-1.720000,0.020000
77,-68172.000,4.650000,2.730000,-5.890000,0.490000,1.730000,0.110000,-1.780000,0.020000
78,-68016.000,4.400000,3.050000,-5.850000,0.530000,1.660000,0.240000,-1.850000,0.010000
79,-67860.000,4.140000,3.390000,-5.790000,0.580000,1.590000,0.360000,-1.880000,0.020000
80,-67704.000,3.880000,3.740000,-5.770000,0.610000,1.540000,0.440000,-1.920000,0.020000
81,-67548.000,3.620000,4.040000,-5.720000,0.640000,1.490000,0.510000,-1.940000,0.020000
82,-67392.000,3.380000,4.320000,-5.660000,0.680000,1.460000,0.570000,-1.970000,0.020000
83,-67236.000,3.140000,4.550000,-5.600000,0.690000,1.410000,0.650000,-2.000000,0.020000
84,-67080.000,2.890000,4.810000,-5.520000,0.720000,1.350000,0.750000,-2.030000,0.020000
85,-66924.000,2.640000,5.060000,-5.450000,0.750000,1.280000,0.840000,-2.060000,0.020000
86,-66768.000,2.380000,5.290000,-5.360000,0.770000,1.200000,0.940000,-2.080000,0.020000
87,-66612.000,2.100000,5.530000,-5.260000,0.790000,1.120000,1.050000,-2.100000,0.020000
88,-66456.000,1.800000,5.740000,-5.140000,0.800000,1.020000,1.160000,-2.110000,0.020000
89,-66300.000,1.550000,5.880000,-4.990000,0.810000,0.920000,1.270000,-2.120000,0.020000
90,-66144.000,1.240000,6.080000,-4.850000,0.820000,0.810000,1.350000,-2.110000,0.010000
91,-65988.000,0.950000,6.280000,-4.710000,0.840000,0.700000,1.430000,-2.080000,0.010000
92,-65832.000,0.660000,6.420000,-4.540000,0.840000,0.570000,1.510000,-2.030000,0.010000
93,-65676.000,0.400000,6.550000,-4.380000,0.850000,0.460000,1.570000,-1.980000,0.010000
94,-65520.000,0.120000,6.670000,-4.220000,0.850000,0.350000,1.620000,-1.920000,0.010000
95,-65364.000,-0.160000,6.800000,-4.030000,0.870000,0.250000,1.670000,-1.880000,0.010000
96,-65208.000,-0.480000,6.900000,-3.800000,0.870000,0.160000,1.730000,-1.840000,0.010000
97,-65052.000,-0.810000,6.960000,-3.550000,0.860000,0.050000,1.800000,-1.800000,0.010000
98,-64896.000,-1.110000,6.970000,-3.270000,0.860000,-0.080000,1.880000,-1.740000,0.020000
99,-64740.000,-1.410000,6.960000,-2.970000,0.860000,-0.220000,1.950000,-1.670000,0.020000
100,-64584.000,-1.710000,6.920000,-2.670000,0.840000,-0.350000,1.990000,-1.600000,0.010000
101,-64428.000,-2.010000,6.900000,-2.370000,0.840000,-0.450000,2.020000,-1.530000,0.010000
102,-64272.000,-2.310000,6.880000,-2.090000,0.820000,-0.530000,2.040000,-1.470000,0.010000
103,-64116.000,-2.600000,6.860000,-1.820000,0.810000,-0.610000,2.080000,-1.420000,0.010000
104,-63960.000,-2.830000,6.820000,-1.560000,0.810000,-0.700000,2.120000,-1.370000,0.010000
105,-63804.000,-3.090000,6.750000,-1.290000,0.790000,-0.790000,2.150000,-1.320000,0.010000
106,-63648.000,-3.340000,6.690000,-1.020000,0.770000,-0.870000,2.180000,-1.270000,0.010000
107,-63492.000,-3.590000,6.600000,-0.740000,0.750000,-0.960000,2.200000,-1.210000,0.010000
108,-63336.000,-3.830000,6.520000,-0.480000,0.730000,-1.040000,2.210000,-1.130000,0.010000
109,-63180.000,-4.080000,6.410000,-0.200000,0.710000,-1.130000,2.210000,-1.050000,0.010000
110,-63024.000,-4.310000,6.300000,0.070000,0.680000,-1.230000,2.230000,-0.970000,0.010000
111,-62868.000,-4.520000,6.150000,0.360000,0.660000,-1.330000,2.230000,-0.880000,0.000000
112,-62712.000,-4.690000,5.980000,0.620000,0.630000,-1.420000,2.220000,-0.790000,0.000000
113,-62556.000,-4.910000,5.810000,0.910000,0.600000,-1.490000,2.190000,-0.680000,0.000000
114,-62400.000,-5.110000,5.640000,1.180000,0.570000,-1.550000,2.140000,-0.580000,0.000000
115,-62244.000,-5.270000,5.460000,1.430000,0.540000,-1.610000,2.080000,-0.460000,0.000000
116,-62088.000,-5.430000,5.280000,1.670000,0.500000,-1.660000,2.010000,-0.350000,0.000000
117,-61932.000,-5.580000,5.050000,1.950000,0.470000,-1.710000,1.940000,-0.230000,0.000000
118,-61776.000,-5.720000,4.770000,2.250000,0.430000,-1.790000,1.890000,-0.100000,0.000000
119,-61620.000,-5.820000,4.470000,2.540000,0.390000,-1.870000,1.830000,0.020000,0.000000
120,-61464.000,-5.880000,4.120000,2.820000,0.350000,-1.960000,1.780000,0.160000,0.000000
121,-61308.000,-5.940000,3.770000,3.080000,0.300000,-2.030000,1.710000,0.290000,-0.010000
122,-61152.000,-5.960000,3.430000,3.310000,0.260000,-2.080000,1.630000,0.410000,-0.010000
123,-60996.000,-6.020000,3.110000,3.570000,0.220000,-2.090000,1.560000,0.500000,-0.010000
124,-60840.000,-6.080000,2.800000,3.820000,0.180000,-2.120000,1.510000,0.580000,-0.010000
125,-60684.000,-6.090000,2.500000,4.040000,0.150000,-2.150000,1.460000,0.640000,-0.010000
126,-60528.000,-6.100000,2.200000,4.240000,0.110000,-2.190000,1.430000,0.710000,-0.010000
127,-60372.000,-6.110000,1.870000,4.450000,0.070000,-2.220000,1.380000,0.790000,-0.010000
128,-60216.000,-6.100000,1.540000,4.640000,0.020000,-2.230000,1.310000,0.880000,-0.010000
129,-60060.000,-6.080000,1.220000,4.820000,-0.010000,-2.240000,1.220000,0.970000,-0.010000
130,-59904.000,-6.040000,0.900000,4.980000,-0.050000,-2.250000,1.120000,1.060000,-0.020000
131,-59748.000,-5.990000,0.580000,5.130000,-0.090000,-2.230000,1.030000,1.160000,-0.010000
132,-59592.000,-5.930000,0.240000,5.280000,-0.130000,-2.240000,0.940000,1.240000,-0.020000
133,-59436.000,-5.840000,-0.050000,5.350000,-0.180000,-2.220000,0.850000,1.310000,-0.020000
134,-59280.000,-5.750000,-0.410000,5.470000,-0.230000,-2.190000,0.750000,1.390000,-0.010000
135,-59124.000,-5.650000,-0.750000,5.600000,-0.260000,-2.150000,0.640000,1.450000,-0.020000
136,-58968.000,-5.550000,-1.060000,5.670000,-0.310000,-2.090000,0.510000,1.520000,-0.020000
137,-58812.000,-5.420000,-1.370000,5.760000,-0.340000,-2.020000,0.370000,1.590000,-0.020000
138,-58656.000,-5.270000,-1.700000,5.820000,-0.380000,-1.950000,0.250000,1.630000,-0.020000
139,-58500.000,-5.110000,-2.040000,5.880000,-0.420000,-1.880000,0.130000,1.680000,-0.020000
140,-58344.000,-4.910000,-2.390000,5.900000,-0.460000,-1.810000,0.000000,1.740000,-0.020000
141,-58188.000,-4.690000,-2.730000,5.910000,-0.500000,-1.750000,-0.130000,1.820000,-0.020000
142,-58032.000,-4.460000,-3.020000,5.860000,-0.540000,-1.680000,-0.270000,1.880000,-0.020000
143,-57876.000,-4.180000,-3.350000,5.810000,-0.570000,-1.600000,-0.390000,1.930000,-0.020000
144,-57720.000,-3.920000,-3.680000,5.780000,-0.600000,-1.520000,-0.490000,1.950000,-0.020000
145,-57564.000,-3.670000,-3.980000,5.720000,-0.640000,-1.450000,-0.590000,1.980000,-0.020000
146,-57408.000,-3.410000,-4.250000,5.660000,-0.660000,-1.400000,-0.660000,2.000000,-0.020000
147,-57252.000,-3.160000,-4.500000,5.610000,-0.680000,-1.360000,-0.730000,2.030000,-0.020000
148,-57096.000,-2.930000,-4.730000,5.540000,-0.700000,-1.320000,-0.790000,2.060000,-0.010000
149,-56940.000,-2.670000,-4.970000,5.460000,-0.720000,-1.280000,-0.860000,2.080000,-0.020000
150,-56784.000,-2.420000,-5.190000,5.370000,-0.740000,-1.210000,-0.950000,2.100000,-0.020000
151,-56628.000,-2.130000,-5.430000,5.260000,-0.760000,-1.130000,-1.040000,2.110000,-0.020000
152,-56472.000,-1.860000,-5.650000,5.140000,-0.790000,-1.050000,-1.150000,2.130000,-0.020000
153,-56316.000,-1.570000,-5.840000,5.010000,-0.800000,-0.950000,-1.240000,2.120000,-0.020000
154,-56160.000,-1.290000,-6.020000,4.860000,-0.810000,-0.850000,-1.330000,2.100000,-0.020000
155,-56004.000,-0.990000,-6.210000,4.710000,-0.830000,-0.740000,-1.390000,2.080000,-0.010000
156,-55848.000,-0.710000,-6.370000,4.540000,-0.840000,-0.640000,-1.460000,2.040000,-0.020000
157,-55692.000,-0.440000,-6.500000,4.380000,-0.850000,-0.520000,-1.530000,2.000000,-0.010000
158,-55536.000,-0.170000,-6.620000,4.230000,-0.850000,-0.410000,-1.590000,1.950000,-0.010000
159,-55380.000,0.110000,-6.750000,4.040000,-0.860000,-0.290000,-1.640000,1.880000,-0.010000
160,-55224.000,0.430000,-6.920000,3.830000,-0.880000,-0.180000,-1.700000,1.840000,-0.010000
161,-55068.000,0.760000,-6.980000,3.570000,-0.880000,-0.060000,-1.760000,1.770000,-0.010000
162,-54912.000,1.080000,-7.000000,3.280000,-0.880000,0.070000,-1.830000,1.720000,-0.010000
163,-54756.000,1.390000,-6.980000,2.980000,-0.870000,0.200000,-1.900000,1.650000,-0.010000
164,-54600.000,1.730000,-6.970000,2.690000,-0.850000,0.330000,-1.950000,1.590000,-0.010000
165,-54444.000,2.030000,-6.920000,2.390000,-0.830000,0.440000,-1.980000,1.510000,-0.010000
166,-54288.000,2.340000,-6.920000,2.110000,-0.820000,0.520000,-2.000000,1.440000,-0.010000
167,-54132.000,2.630000,-6.890000,1.840000,-0.800000,0.600000,-2.030000,1.380000,-0.010000
168,-53976.000,2.900000,-6.840000,1.560000,-0.790000,0.680000,-2.060000,1.340000,-0.010000
169,-53820.000,3.150000,-6.780000,1.300000,-0.770000,0.760000,-2.100000,1.300000,-0.010000
170,-53664.000,3.410000,-6.700000,1.020000,-0.750000,0.830000,-2.120000,1.250000,-0.010000
171,-53508.000,3.670000,-6.640000,0.750000,-0.740000,0.900000,-2.150000,1.200000,-0.010000
172,-53352.000,3.870000,-6.540000,0.480000,-0.730000,0.990000,-2.140000,1.120000,-0.010000
173,-53196.000,4.090000,-6.440000,0.220000,-0.710000,1.080000,-2.150000,1.040000,-0.010000
174,-53040.000,4.310000,-6.320000,-0.050000,-0.680000,1.180000,-2.140000,0.940000,0.000000
175,-52884.000,4.520000,-6.180000,-0.340000,-0.660000,1.270000,-2.140000,0.850000,0.000000
176,-52728.000,4.700000,-6.000000,-0.610000,-0.630000,1.360000,-2.130000,0.760000,0.000000
177,-52572.000,4.920000,-5.830000,-0.890000,-0.600000,1.430000,-2.130000,0.680000,0.000000
178,-52416.000,5.110000,-5.650000,-1.180000,-0.570000,1.490000,-2.080000,0.580000,0.000000
179,-52260.000,5.260000,-5.480000,-1.430000,-0.550000,1.550000,-2.040000,0.480000,0.000000
180,-52104.000,5.410000,-5.280000,-1.680000,-0.510000,1.610000,-1.970000,0.370000,0.000000
181,-51948.000,5.580000,-5.070000,-1.940000,-0.470000,1.670000,-1.920000,0.250000,0.000000
182,-51792.000,5.700000,-4.810000,-2.230000,-0.440000,1.730000,-1.860000,0.130000,0.000000
183,-51636.000,5.810000,-4.510000,-2.520000,-0.400000,1.810000,-1.790000,0.000000,0.000000
184,-51480.000,5.860000,-4.160000,-2.800000,-0.360000,1.880000,-1.720000,-0.140000,0.000000
185,-51324.000,5.930000,-3.810000,-3.060000,-0.310000,1.950000,-1.650000,-0.270000,0.010000
186,-51168.000,5.940000,-3.470000,-3.270000,-0.260000,2.010000,-1.590000,-0.390000,0.010000
187,-51012.000,6.010000,-3.140000,-3.530000,-0.220000,2.040000,-1.530000,-0.480000,0.010000
188,-50856.000,6.050000,-2.830000,-3.760000,-0.180000,2.070000,-1.470000,-0.550000,0.010000
189,-50700.000,6.080000,-2.520000,-3.980000,-0.140000,2.090000,-1.410000,-0.640000,0.010000
190,-50544.000,6.090000,-2.220000,-4.180000,-0.100000,2.120000,-1.370000,-0.710000,0.010000
191,-50388.000,6.100000,-1.900000,-4.380000,-0.060000,2.140000,-1.320000,-0.770000,0.010000
192,-50232.000,6.080000,-1.580000,-4.560000,-0.020000,2.160000,-1.270000,-0.850000,0.010000
193,-50076.000,6.060000,-1.240000,-4.750000,0.020000,2.180000,-1.190000,-0.930000,0.020000
194,-49920.000,6.020000,-0.920000,-4.890000,0.070000,2.190000,-1.110000,-1.020000,0.020000
195,-49764.000,5.980000,-0.600000,-5.070000,0.100000,2.190000,-1.020000,-1.110000,0.020000
196,-49608.000,5.920000,-0.290000,-5.230000,0.130000,2.180000,-0.930000,-1.190000,0.020000
197,-49452.000,5.830000,0.030000,-5.340000,0.170000,2.170000,-0.840000,-1.270000,0.020000
198,-49296.000,5.740000,0.370000,-5.470000,0.210000,2.140000,-0.740000,-1.330000,0.020000
199,-49140.000,5.640000,0.710000,-5.590000,0.250000,2.080000,-0.650000,-1.380000,0.010000
200,-48984.000,5.530000,1.020000,-5.680000,0.290000,2.030000,-0.530000,-1.440000,0.020000
201,-48828.000,5.410000,1.320000,-5.740000,0.330000,1.950000,-0.410000,-1.490000,0.010000
202,-48672.000,5.260000,1.660000,-5.810000,0.370000,1.890000,-0.290000,-1.550000,0.010000
203,-48516.000,5.090000,2.010000,-5.860000,0.410000,1.840000,-0.160000,-1.630000,0.010000
204,-48360.000,4.900000,2.360000,-5.910000,0.450000,1.790000,-0.010000,-1.700000,0.020000
205,-48204.000,4.670000,2.710000,-5.900000,0.490000,1.720000,0.100000,-1.770000,0.010000
206,-48048.000,4.430000,3.050000,-5.870000,0.530000,1.650000,0.230000,-1.820000,0.020000
207,-47892.000,4.150000,3.360000,-5.800000,0.570000,1.580000,0.310000,-1.860000,0.010000
208,-47736.000,3.900000,3.710000,-5.770000,0.610000,1.530000,0.400000,-1.880000,0.010000
209,-47580.000,3.640000,4.010000,-5.710000,0.640000,1.490000,0.470000,-1.900000,0.020000
210,-47424.000,3.390000,4.300000,-5.660000,0.670000,1.450000,0.560000,-1.940000,0.020000
211,-47268.000,3.150000,4.540000,-5.600000,0.690000,1.400000,0.630000,-1.980000,0.010000
212,-47112.000,2.900000,4.790000,-5.530000,0.720000,1.350000,0.730000,-2.020000,0.020000
213,-46956.000,2.660000,5.040000,-5.460000,0.740000,1.290000,0.820000,-2.050000,0.020000
214,-46800.000,2.390000,5.270000,-5.390000,0.750000,1.220000,0.920000,-2.070000,0.020000
215,-46644.000,2.130000,5.500000,-5.270000,0.780000,1.130000,1.010000,-2.070000,0.020000
216,-46488.000,1.840000,5.720000,-5.160000,0.800000,1.020000,1.110000,-2.080000,0.010000
217,-46332.000,1.560000,5.860000,-5.000000,0.800000,0.920000,1.220000,-2.090000,0.010000
218,-46176.000,1.260000,6.060000,-4.860000,0.820000,0.810000,1.320000,-2.070000,0.020000
219,-46020.000,0.970000,6.260000,-4.710000,0.840000,0.700000,1.410000,-2.050000,0.020000
220,-45864.000,0.670000,6.410000,-4.550000,0.840000,0.570000,1.490000,-2.010000,0.010000
221,-45708.000,0.420000,6.550000,-4.390000,0.860000,0.460000,1.540000,-1.950000,0.010000
222,-45552.000,0.140000,6.660000,-4.230000,0.850000,0.350000,1.590000,-1.890000,0.010000
223,-45396.000,-0.140000,6.790000,-4.050000,0.860000,0.260000,1.630000,-1.840000,0.010000
224,-45240.000,-0.460000,6.890000,-3.820000,0.870000,0.170000,1.670000,-1.800000,0.010000
225,-45084.000,-0.780000,6.960000,-3.550000,0.870000,0.070000,1.750000,-1.770000,0.010000
226,-44928.000,-1.100000,6.980000,-3.280000,0.860000,-0.050000,1.830000,-1.720000,0.020000
227,-44772.000,-1.390000,6.960000,-2.990000,0.860000,-0.190000,1.910000,-1.670000,0.010000
228,-44616.000,-1.700000,6.930000,-2.690000,0.840000,-0.320000,1.960000,-1.600000,0.010000
229,-44460.000,-1.990000,6.880000,-2.400000,0.830000,-0.410000,1.990000,-1.530000,0.010000
230,-44304.000,-2.310000,6.890000,-2.110000,0.820000,-0.490000,2.010000,-1.460000,0.020000
231,-44148.000,-2.590000,6.870000,-1.840000,0.810000,-0.570000,2.030000,-1.420000,0.010000
232,-43992.000,-2.830000,6.810000,-1.570000,0.800000,-0.650000,2.060000,-1.370000,0.010000
233,-43836.000,-3.080000,6.760000,-1.310000,0.790000,-0.730000,2.090000,-1.320000,0.010000
234,-43680.000,-3.320000,6.700000,-1.040000,0.780000,-0.820000,2.130000,-1.270000,0.010000
235,-43524.000,-3.580000,6.610000,-0.760000,0.750000,-0.910000,2.140000,-1.200000,0.010000
236,-43368.000,-3.820000,6.520000,-0.500000,0.730000,-0.990000,2.150000,-1.120000,0.010000
237,-43212.000,-4.060000,6.420000,-0.220000,0.710000,-1.070000,2.140000,-1.040000,0.010000
238,-43056.000,-4.280000,6.300000,0.040000,0.680000,-1.170000,2.150000,-0.960000,0.000000
239,-42900.000,-4.500000,6.160000,0.330000,0.660000,-1.270000,2.160000,-0.860000,0.010000
240,-42744.000,-4.690000,5.990000,0.600000,0.630000,-1.370000,2.160000,-0.770000,0.000000
241,-42588.000,-4.910000,5.810000,0.880000,0.590000,-1.440000,2.120000,-0.660000,0.000000
242,-42432.000,-5.090000,5.650000,1.160000,0.570000,-1.500000,2.080000,-0.560000,0.000000
243,-42276.000,-5.260000,5.480000,1.410000,0.540000,-1.550000,2.020000,-0.460000,0.000000
244,-42120.000,-5.410000,5.290000,1.670000,0.510000,-1.600000,1.960000,-0.350000,0.000000
245,-41964.000,-5.570000,5.060000,1.940000,0.470000,-1.650000,1.900000,-0.250000,0.000000
246,-41808.000,-5.720000,4.800000,2.230000,0.430000,-1.730000,1.860000,-0.140000,0.000000
247,-41652.000,-5.810000,4.480000,2.520000,0.390000,-1.810000,1.810000,-0.010000,0.000000
248,-41496.000,-5.880000,4.150000,2.800000,0.350000,-1.900000,1.750000,0.130000,0.000000
249,-41340.000,-5.930000,3.780000,3.060000,0.300000,-1.960000,1.680000,0.260000,0.000000
250,-41184.000,-5.950000,3.450000,3.290000,0.260000,-2.020000,1.610000,0.370000,-0.010000
251,-41028.000,-6.010000,3.130000,3.550000,0.220000,-2.040000,1.540000,0.460000,-0.010000
252,-40872.000,-6.070000,2.820000,3.800000,0.180000,-2.060000,1.490000,0.530000,-0.010000
253,-40716.000,-6.090000,2.510000,4.020000,0.140000,-2.090000,1.450000,0.610000,-0.010000
254,-40560.000,-6.110000,2.220000,4.220000,0.110000,-2.120000,1.400000,0.680000,-0.010000
255,-40404.000,-6.110000,1.900000,4.430000,0.070000,-2.140000,1.350000,0.750000,-0.010000
256,-40248.000,-6.110000,1.570000,4.630000,0.030000,-2.160000,1.280000,0.830000,-0.010000
257,-40092.000,-6.070000,1.250000,4.800000,0.000000,-2.170000,1.200000,0.920000,-0.010000
258,-39936.000,-6.050000,0.920000,4.980000,-0.050000,-2.180000,1.110000,1.020000,-0.010000
259,-39780.000,-6.000000,0.600000,5.120000,-0.090000,-2.170000,1.010000,1.110000,-0.010000
260,-39624.000,-5.930000,0.270000,5.260000,-0.130000,-2.170000,0.920000,1.200000,-0.010000
261,-39468.000,-5.850000,-0.030000,5.380000,-0.160000,-2.160000,0.830000,1.280000,-0.010000
262,-39312.000,-5.770000,-0.380000,5.470000,-0.220000,-2.140000,0.730000,1.360000,-0.010000
263,-39156.000,-5.660000,-0.730000,5.590000,-0.260000,-2.110000,0.620000,1.410000,-0.020000
264,-39000.000,-5.550000,-1.040000,5.670000,-0.300000,-2.050000,0.500000,1.490000,-0.020000
265,-38844.000,-5.440000,-1.350000,5.750000,-0.340000,-1.980000,0.360000,1.550000,-0.020000
