点号,相对时间(微秒),  1:母线电压Ua(V),  2:母线电压Ub(V),  3:母线电压Uc(V),  4:母线零序电压3Uo(V),  5:降压变高压侧电流Ia(A),  6:降压变高压侧电流Ib(A),  7:降压变高压侧电流Ic(A),  8:降压变高压侧电流3Io(A)
61,-94000.000,16.521000,-76.815000,70.097000,5.554000,0.371000,-0.164000,-0.216000,0.000000
62,-93900.000,19.245000,-77.982000,68.370000,5.469000,0.389000,-0.164000,-0.216000,0.002000
63,-93800.000,22.031000,-79.148000,66.495000,5.306000,0.389000,-0.164000,-0.250000,0.000000
64,-93700.000,24.879000,-80.339000,64.473000,5.095000,0.406000,-0.164000,-0.250000,0.002000
65,-93600.000,27.805000,-81.505000,62.372000,4.924000,0.415000,-0.156000,-0.259000,-0.002000
66,-93500.000,30.801000,-82.587000,60.171000,4.753000,0.415000,-0.147000,-0.268000,0.000000
67,-93400.000,33.828000,-83.575000,57.899000,4.621000,0.415000,-0.138000,-0.294000,0.003000
68,-93300.000,36.793000,-84.500000,55.488000,4.419000,0.397000,-0.112000,-0.294000,0.002000
69,-93200.000,39.696000,-85.309000,52.991000,4.193000,0.397000,-0.086000,-0.302000,0.002000
70,-93100.000,42.552000,-85.932000,50.408000,3.991000,0.389000,-0.069000,-0.328000,0.002000
71,-93000.000,45.299000,-86.359000,47.748000,3.812000,0.371000,-0.035000,-0.328000,0.000000
72,-92900.000,47.890000,-86.616000,44.986000,3.555000,0.354000,-0.009000,-0.345000,0.002000
73,-92800.000,50.341000,-86.663000,42.162000,3.314000,0.328000,0.026000,-0.354000,0.000000
74,-92700.000,52.645000,-86.460000,39.308000,3.127000,0.302000,0.043000,-0.345000,-0.002000
75,-92600.000,54.777000,-86.072000,36.429000,2.902000,0.251000,0.086000,-0.354000,0.002000
76,-92500.000,56.676000,-85.496000,33.559000,2.668000,0.251000,0.104000,-0.354000,0.000000
77,-92400.000,58.396000,-84.827000,30.673000,2.419000,0.225000,0.121000,-0.345000,0.002000
78,-92300.000,59.968000,-84.010000,27.865000,2.170000,0.199000,0.147000,-0.354000,0.000000
79,-92200.000,61.431000,-83.053000,25.173000,1.999000,0.190000,0.164000,-0.337000,-0.003000
80,-92100.000,62.761000,-82.058000,22.544000,1.851000,0.173000,0.156000,-0.337000,0.000000
81,-92000.000,63.960000,-81.078000,19.930000,1.587000,0.156000,0.164000,-0.328000,0.000000
82,-91900.000,65.111000,-80.121000,17.394000,1.369000,0.156000,0.147000,-0.302000,0.000000
83,-91800.000,66.232000,-79.133000,14.920000,1.136000,0.156000,0.147000,-0.311000,0.000000
84,-91700.000,67.376000,-78.137000,12.548000,1.004000,0.156000,0.147000,-0.302000,0.002000
85,-91600.000,68.520000,-77.157000,10.183000,0.895000,0.147000,0.147000,-0.294000,0.000000
86,-91500.000,69.617000,-76.255000,7.732000,0.630000,0.156000,0.147000,-0.311000,0.002000
87,-91400.000,70.738000,-75.352000,5.282000,0.405000,0.164000,0.147000,-0.302000,0.000000
88,-91300.000,71.905000,-74.411000,2.816000,0.187000,0.164000,0.147000,-0.311000,0.000000
89,-91200.000,73.135000,-73.408000,0.319000,0.039000,0.181000,0.156000,-0.328000,0.000000
90,-91100.000,74.411000,-72.358000,-2.271000,-0.101000,0.173000,0.147000,-0.345000,0.000000
91,-91000.000,75.633000,-71.339000,-4.986000,-0.381000,0.181000,0.164000,-0.363000,0.000000
92,-90900.000,76.870000,-70.257000,-7.756000,-0.638000,0.173000,0.173000,-0.345000,0.002000
93,-90800.000,78.107000,-69.098000,-10.587000,-0.887000,0.181000,0.181000,-0.363000,0.000000
94,-90700.000,79.352000,-67.815000,-13.442000,-1.058000,0.181000,0.181000,-0.363000,0.002000
95,-90600.000,80.597000,-66.423000,-16.352000,-1.214000,0.156000,0.207000,-0.371000,0.000000
96,-90500.000,81.726000,-65.022000,-19.393000,-1.525000,0.156000,0.216000,-0.371000,0.002000
97,-90400.000,82.784000,-63.513000,-22.481000,-1.805000,0.156000,0.225000,-0.389000,0.002000
98,-90300.000,83.804000,-61.888000,-25.616000,-2.085000,0.138000,0.251000,-0.389000,-0.002000
99,-90200.000,84.792000,-60.114000,-28.697000,-2.272000,0.130000,0.259000,-0.389000,0.000000
100,-90100.000,85.648000,-58.239000,-31.746000,-2.458000,0.112000,0.268000,-0.389000,-0.002000
101,-90000.000,86.309000,-56.302000,-34.850000,-2.746000,0.078000,0.294000,-0.380000,-0.002000
102,-89900.000,86.776000,-54.241000,-37.892000,-3.034000,0.052000,0.294000,-0.371000,-0.002000
103,-89800.000,87.088000,-52.032000,-40.832000,-3.283000,0.035000,0.320000,-0.345000,0.000000
104,-89700.000,87.212000,-49.659000,-43.625000,-3.462000,-0.009000,0.337000,-0.337000,0.002000
105,-89600.000,87.095000,-47.155000,-46.309000,-3.633000,-0.043000,0.354000,-0.311000,0.002000
106,-89500.000,86.722000,-44.595000,-48.930000,-3.866000,-0.069000,0.380000,-0.311000,-0.002000
107,-89400.000,86.115000,-41.935000,-51.388000,-4.100000,-0.095000,0.380000,-0.294000,-0.002000
108,-89300.000,85.337000,-39.205000,-53.675000,-4.294000,-0.130000,0.389000,-0.268000,0.002000
109,-89200.000,84.403000,-36.389000,-55.776000,-4.411000,-0.147000,0.406000,-0.268000,0.000000
110,-89100.000,83.329000,-33.565000,-57.791000,-4.559000,-0.164000,0.397000,-0.233000,0.000000
111,-89000.000,82.146000,-30.765000,-59.673000,-4.714000,-0.181000,0.389000,-0.225000,-0.002000
112,-88900.000,80.885000,-28.011000,-61.478000,-4.893000,-0.181000,0.397000,-0.216000,-0.002000
113,-88800.000,79.625000,-25.273000,-63.189000,-5.025000,-0.190000,0.397000,-0.216000,-0.002000
114,-88700.000,78.395000,-22.566000,-64.838000,-5.119000,-0.181000,0.389000,-0.207000,0.002000
115,-88600.000,77.166000,-19.960000,-66.480000,-5.274000,-0.181000,0.372000,-0.199000,0.000000
116,-88500.000,76.006000,-17.432000,-68.090000,-5.422000,-0.164000,0.354000,-0.199000,0.000000
117,-88400.000,74.932000,-14.966000,-69.669000,-5.516000,-0.147000,0.346000,-0.199000,-0.002000
118,-88300.000,73.897000,-12.570000,-71.233000,-5.632000,-0.156000,0.337000,-0.199000,-0.002000
119,-88200.000,72.893000,-10.268000,-72.812000,-5.788000,-0.138000,0.320000,-0.190000,0.002000
120,-88100.000,71.913000,-8.012000,-74.360000,-5.936000,-0.138000,0.328000,-0.190000,0.000000
121,-88000.000,70.971000,-5.741000,-75.854000,-6.045000,-0.138000,0.320000,-0.199000,0.000000
122,-87900.000,70.014000,-3.462000,-77.300000,-6.122000,-0.147000,0.328000,-0.199000,-0.002000
123,-87800.000,69.002000,-1.206000,-78.747000,-6.231000,-0.147000,0.320000,-0.190000,0.002000
124,-87700.000,67.905000,1.050000,-80.186000,-6.395000,-0.156000,0.320000,-0.181000,0.002000
125,-87600.000,66.707000,3.353000,-81.548000,-6.527000,-0.147000,0.346000,-0.173000,0.000000
126,-87500.000,65.469000,5.725000,-82.800000,-6.597000,-0.181000,0.337000,-0.164000,0.000000
127,-87400.000,64.123000,8.183000,-84.014000,-6.659000,-0.199000,0.346000,-0.147000,0.002000
128,-87300.000,62.652000,10.672000,-85.181000,-6.729000,-0.216000,0.354000,-0.147000,0.000000
129,-87200.000,61.010000,13.232000,-86.309000,-6.877000,-0.242000,0.363000,-0.130000,0.000000
130,-87100.000,59.236000,15.822000,-87.421000,-7.025000,-0.259000,0.380000,-0.138000,0.000000
131,-87000.000,57.392000,18.591000,-88.424000,-7.048000,-0.259000,0.380000,-0.138000,-0.002000
132,-86900.000,55.431000,21.438000,-89.342000,-7.087000,-0.285000,0.380000,-0.112000,0.002000
133,-86800.000,53.322000,24.316000,-90.198000,-7.134000,-0.302000,0.397000,-0.104000,-0.002000
134,-86700.000,51.057000,27.187000,-90.999000,-7.250000,-0.311000,0.406000,-0.095000,0.000000
135,-86600.000,48.660000,30.026000,-91.676000,-7.390000,-0.328000,0.397000,-0.060000,0.002000
136,-86500.000,46.209000,32.951000,-92.135000,-7.351000,-0.354000,0.397000,-0.043000,0.003000
137,-86400.000,43.625000,35.844000,-92.384000,-7.328000,-0.371000,0.380000,-0.026000,0.002000
138,-86300.000,40.925000,38.637000,-92.454000,-7.313000,-0.371000,0.372000,-0.009000,0.002000
139,-86200.000,38.108000,41.305000,-92.368000,-7.351000,-0.389000,0.363000,0.017000,0.000000
140,-86100.000,35.213000,43.833000,-92.088000,-7.398000,-0.397000,0.346000,0.060000,0.000000
141,-86000.000,32.334000,46.322000,-91.536000,-7.289000,-0.406000,0.320000,0.060000,0.002000
142,-85900.000,29.470000,48.656000,-90.789000,-7.188000,-0.397000,0.302000,0.095000,0.002000
143,-85800.000,26.622000,50.795000,-89.973000,-7.103000,-0.397000,0.277000,0.112000,0.000000
144,-85700.000,23.813000,52.748000,-89.062000,-7.087000,-0.380000,0.251000,0.121000,0.000000
145,-85600.000,21.050000,54.560000,-88.074000,-7.079000,-0.371000,0.242000,0.130000,0.000000
146,-85500.000,18.459000,56.318000,-87.024000,-6.931000,-0.363000,0.233000,0.130000,0.002000
147,-85400.000,15.969000,57.967000,-85.943000,-6.807000,-0.337000,0.207000,0.121000,0.002000
148,-85300.000,13.541000,59.507000,-84.924000,-6.721000,-0.337000,0.207000,0.130000,0.002000
149,-85200.000,11.167000,60.962000,-83.967000,-6.690000,-0.328000,0.190000,0.112000,0.002000
150,-85100.000,8.879000,62.378000,-83.018000,-6.659000,-0.311000,0.199000,0.104000,-0.002000
151,-85000.000,6.708000,63.762000,-82.053000,-6.550000,-0.302000,0.199000,0.112000,0.002000
152,-84900.000,4.560000,65.155000,-81.097000,-6.434000,-0.302000,0.181000,0.112000,0.000000
153,-84800.000,2.397000,66.493000,-80.171000,-6.364000,-0.311000,0.181000,0.104000,0.000000
154,-84700.000,0.218000,67.784000,-79.214000,-6.340000,-0.302000,0.173000,0.121000,-0.002000
155,-84600.000,-1.977000,69.083000,-78.172000,-6.262000,-0.294000,0.181000,0.121000,0.000000
156,-84500.000,-4.218000,70.390000,-77.044000,-6.153000,-0.320000,0.173000,0.138000,0.002000
157,-84400.000,-6.552000,71.689000,-75.830000,-6.060000,-0.328000,0.181000,0.138000,0.000000
158,-84300.000,-8.949000,72.964000,-74.531000,-5.943000,-0.346000,0.173000,0.155000,0.000000
159,-84200.000,-11.424000,74.217000,-73.108000,-5.819000,-0.346000,0.181000,0.181000,0.000000
160,-84100.000,-13.969000,75.469000,-71.583000,-5.710000,-0.363000,0.173000,0.181000,0.002000
161,-84000.000,-16.599000,76.714000,-69.941000,-5.554000,-0.380000,0.181000,0.199000,0.000000
162,-83900.000,-19.330000,77.904000,-68.230000,-5.453000,-0.389000,0.156000,0.207000,0.000000
163,-83800.000,-22.132000,79.086000,-66.386000,-5.329000,-0.397000,0.164000,0.225000,0.000000
164,-83700.000,-24.957000,80.300000,-64.411000,-5.119000,-0.406000,0.156000,0.233000,0.000000
165,-83600.000,-27.852000,81.459000,-62.349000,-4.940000,-0.415000,0.164000,0.250000,0.000000
166,-83500.000,-30.785000,82.556000,-60.218000,-4.792000,-0.406000,0.138000,0.250000,0.002000
167,-83400.000,-33.758000,83.551000,-58.016000,-4.644000,-0.406000,0.130000,0.268000,0.000000
168,-83300.000,-36.668000,84.446000,-55.706000,-4.481000,-0.406000,0.121000,0.276000,0.000000
169,-83200.000,-39.509000,85.247000,-53.255000,-4.248000,-0.389000,0.095000,0.285000,-0.002000
170,-83100.000,-42.248000,85.893000,-50.688000,-3.983000,-0.380000,0.060000,0.294000,0.000000
171,-83000.000,-44.948000,86.297000,-48.075000,-3.812000,-0.363000,0.035000,0.294000,0.000000
172,-82900.000,-47.532000,86.484000,-45.399000,-3.641000,-0.354000,0.017000,0.320000,0.002000
173,-82800.000,-49.983000,86.476000,-42.598000,-3.454000,-0.320000,-0.026000,0.337000,0.002000
174,-82700.000,-52.232000,86.305000,-39.681000,-3.182000,-0.311000,-0.052000,0.345000,-0.002000
175,-82600.000,-54.279000,85.932000,-36.717000,-2.855000,-0.276000,-0.086000,0.354000,-0.002000
176,-82500.000,-56.240000,85.317000,-33.816000,-2.692000,-0.251000,-0.112000,0.354000,0.000000
177,-82400.000,-58.053000,84.547000,-30.930000,-2.497000,-0.233000,-0.130000,0.354000,0.002000
178,-82300.000,-59.711000,83.676000,-28.059000,-2.303000,-0.207000,-0.138000,0.328000,0.002000
179,-82200.000,-61.174000,82.797000,-25.212000,-2.030000,-0.190000,-0.147000,0.337000,0.002000
180,-82100.000,-62.536000,81.863000,-22.419000,-1.719000,-0.173000,-0.147000,0.311000,-0.002000
181,-82000.000,-63.866000,80.844000,-19.774000,-1.571000,-0.181000,-0.156000,0.311000,0.002000
182,-81900.000,-65.143000,79.825000,-17.215000,-1.400000,-0.173000,-0.147000,0.302000,0.002000
183,-81800.000,-66.364000,78.868000,-14.726000,-1.260000,-0.164000,-0.147000,0.294000,0.000000
184,-81700.000,-67.500000,77.974000,-12.244000,-1.004000,-0.156000,-0.138000,0.294000,-0.002000
185,-81600.000,-68.613000,77.110000,-9.817000,-0.739000,-0.173000,-0.130000,0.276000,-0.002000
186,-81500.000,-69.804000,76.200000,-7.483000,-0.615000,-0.156000,-0.147000,0.285000,0.000000
187,-81400.000,-70.995000,75.290000,-5.134000,-0.451000,-0.164000,-0.138000,0.276000,0.000000
188,-81300.000,-72.162000,74.388000,-2.754000,-0.303000,-0.164000,-0.138000,0.294000,0.000000
189,-81200.000,-73.321000,73.524000,-0.272000,-0.047000,-0.156000,-0.138000,0.294000,0.000000
190,-81100.000,-74.473000,72.575000,2.248000,0.202000,-0.164000,-0.130000,0.294000,0.000000
191,-81000.000,-75.710000,71.533000,4.800000,0.350000,-0.164000,-0.147000,0.311000,0.000000
192,-80900.000,-76.924000,70.436000,7.413000,0.537000,-0.173000,-0.156000,0.311000,0.000000
193,-80800.000,-78.092000,69.277000,10.121000,0.739000,-0.156000,-0.173000,0.328000,-0.002000
194,-80700.000,-79.236000,68.056000,12.952000,1.027000,-0.164000,-0.190000,0.345000,0.000000
195,-80600.000,-80.356000,66.718000,15.861000,1.268000,-0.156000,-0.207000,0.345000,0.000000
196,-80500.000,-81.461000,65.263000,18.794000,1.478000,-0.156000,-0.216000,0.354000,0.000000
197,-80400.000,-82.527000,63.677000,21.820000,1.680000,-0.138000,-0.233000,0.363000,0.000000
198,-80300.000,-83.531000,61.996000,24.932000,1.929000,-0.138000,-0.242000,0.380000,0.002000
199,-80200.000,-84.442000,60.231000,28.098000,2.225000,-0.130000,-0.277000,0.371000,-0.002000
200,-80100.000,-85.259000,58.340000,31.248000,2.466000,-0.121000,-0.268000,0.371000,0.002000
201,-80000.000,-85.944000,56.341000,34.360000,2.723000,-0.078000,-0.294000,0.371000,0.002000
202,-79900.000,-86.488000,54.218000,37.448000,2.964000,-0.069000,-0.302000,0.354000,0.000000
203,-79800.000,-86.846000,51.977000,40.467000,3.190000,-0.035000,-0.328000,0.354000,0.000000
204,-79700.000,-86.994000,49.620000,43.376000,3.415000,0.000000,-0.337000,0.328000,-0.002000
205,-79600.000,-86.932000,47.123000,46.184000,3.649000,0.026000,-0.363000,0.311000,0.002000
206,-79500.000,-86.652000,44.518000,48.845000,3.820000,0.060000,-0.380000,0.302000,0.002000
207,-79400.000,-86.123000,41.865000,51.396000,4.076000,0.086000,-0.389000,0.285000,0.002000
208,-79300.000,-85.399000,39.135000,53.761000,4.271000,0.121000,-0.397000,0.259000,0.000000
209,-79200.000,-84.543000,36.342000,55.931000,4.411000,0.147000,-0.397000,0.250000,0.000000
210,-79100.000,-83.523000,33.534000,57.923000,4.520000,0.156000,-0.389000,0.225000,0.000000
211,-79000.000,-82.372000,30.757000,59.844000,4.699000,0.173000,-0.397000,0.216000,-0.002000
212,-78900.000,-81.119000,28.035000,61.680000,4.893000,0.181000,-0.389000,0.199000,0.000000
213,-78800.000,-79.858000,25.343000,63.368000,5.041000,0.199000,-0.380000,0.173000,-0.002000
214,-78700.000,-78.629000,22.659000,64.963000,5.127000,0.181000,-0.380000,0.181000,0.000000
215,-78600.000,-77.446000,20.030000,66.526000,5.197000,0.181000,-0.372000,0.164000,0.000000
216,-78500.000,-76.232000,17.541000,68.082000,5.368000,0.173000,-0.346000,0.173000,0.000000
217,-78400.000,-75.080000,15.130000,69.669000,5.539000,0.181000,-0.337000,0.164000,-0.002000
218,-78300.000,-73.975000,12.773000,71.163000,5.671000,0.156000,-0.328000,0.164000,0.000000
219,-78200.000,-72.963000,10.408000,72.641000,5.749000,0.147000,-0.328000,0.181000,0.000000
220,-78100.000,-71.975000,8.082000,74.064000,5.788000,0.156000,-0.320000,0.173000,0.000000
221,-78000.000,-70.932000,5.842000,75.550000,5.975000,0.156000,-0.311000,0.164000,0.002000
222,-77900.000,-69.882000,3.617000,77.020000,6.138000,0.147000,-0.328000,0.155000,0.000000
223,-77800.000,-68.816000,1.338000,78.467000,6.262000,0.156000,-0.320000,0.155000,0.000000
224,-77700.000,-67.742000,-0.996000,79.836000,6.317000,0.156000,-0.320000,0.155000,-0.002000
225,-77600.000,-66.606000,-3.376000,81.159000,6.364000,0.164000,-0.320000,0.155000,0.000000
226,-77500.000,-65.321000,-5.741000,82.512000,6.535000,0.181000,-0.328000,0.147000,0.000000
227,-77400.000,-63.936000,-8.144000,83.812000,6.682000,0.207000,-0.337000,0.130000,0.000000
228,-77300.000,-62.466000,-10.657000,85.048000,6.791000,0.207000,-0.346000,0.130000,-0.002000
229,-77200.000,-60.909000,-13.270000,86.184000,6.846000,0.225000,-0.363000,0.130000,0.002000
230,-77100.000,-59.236000,-15.985000,87.265000,6.861000,0.242000,-0.372000,0.121000,-0.002000
231,-77000.000,-57.392000,-18.708000,88.401000,7.001000,0.259000,-0.380000,0.121000,0.000000
232,-76900.000,-55.423000,-21.485000,89.451000,7.126000,0.268000,-0.389000,0.095000,-0.002000
233,-76800.000,-53.345000,-24.355000,90.369000,7.227000,0.302000,-0.397000,0.095000,0.000000
234,-76700.000,-51.174000,-27.264000,91.147000,7.243000,0.311000,-0.397000,0.086000,0.000000
235,-76600.000,-48.878000,-30.174000,91.801000,7.235000,0.337000,-0.389000,0.052000,0.002000
236,-76500.000,-46.404000,-33.021000,92.298000,7.313000,0.346000,-0.380000,0.035000,-0.002000
237,-76400.000,-43.804000,-35.813000,92.641000,7.383000,0.354000,-0.372000,0.009000,0.000000
238,-76300.000,-41.120000,-38.567000,92.687000,7.375000,0.380000,-0.354000,-0.035000,0.000000
239,-76200.000,-38.357000,-41.258000,92.516000,7.328000,0.389000,-0.354000,-0.052000,0.000000
240,-76100.000,-35.509000,-43.841000,92.151000,7.274000,0.397000,-0.328000,-0.078000,-0.002000
241,-76000.000,-32.575000,-46.260000,91.598000,7.243000,0.415000,-0.311000,-0.086000,0.002000
242,-75900.000,-29.626000,-48.508000,90.875000,7.235000,0.406000,-0.302000,-0.121000,0.000000
243,-75800.000,-26.731000,-50.647000,89.973000,7.149000,0.406000,-0.277000,-0.130000,0.000000
244,-75700.000,-23.898000,-52.678000,88.953000,7.040000,0.397000,-0.242000,-0.147000,0.000000
245,-75600.000,-21.128000,-54.529000,87.903000,6.947000,0.389000,-0.233000,-0.147000,-0.002000
246,-75500.000,-18.435000,-56.287000,86.814000,6.854000,0.371000,-0.225000,-0.147000,0.000000
247,-75400.000,-15.852000,-57.913000,85.741000,6.799000,0.354000,-0.216000,-0.138000,0.002000
248,-75300.000,-13.377000,-59.499000,84.706000,6.714000,0.346000,-0.207000,-0.147000,0.000000
249,-75200.000,-10.996000,-61.016000,83.718000,6.659000,0.328000,-0.190000,-0.130000,0.000000
250,-75100.000,-8.700000,-62.463000,82.785000,6.589000,0.311000,-0.199000,-0.121000,0.000000
251,-75000.000,-6.498000,-63.894000,81.882000,6.535000,0.302000,-0.190000,-0.112000,0.002000
252,-74900.000,-4.358000,-65.318000,80.995000,6.426000,0.294000,-0.181000,-0.121000,0.000000
253,-74800.000,-2.257000,-66.695000,80.109000,6.317000,0.302000,-0.181000,-0.112000,0.002000
254,-74700.000,-0.101000,-68.002000,79.230000,6.301000,0.294000,-0.181000,-0.112000,0.002000
255,-74600.000,2.070000,-69.293000,78.281000,6.278000,0.311000,-0.181000,-0.138000,-0.002000
256,-74500.000,4.226000,-70.600000,77.223000,6.146000,0.302000,-0.173000,-0.138000,-0.002000
257,-74400.000,6.475000,-71.907000,76.040000,6.029000,0.320000,-0.164000,-0.155000,0.000000
258,-74300.000,8.794000,-73.167000,74.780000,5.897000,0.328000,-0.173000,-0.173000,0.000000
259,-74200.000,11.229000,-74.365000,73.434000,5.842000,0.346000,-0.173000,-0.181000,0.000000
260,-74100.000,13.758000,-75.539000,71.964000,5.772000,0.363000,-0.156000,-0.199000,0.000000
261,-74000.000,16.311000,-76.737000,70.307000,5.593000,0.363000,-0.156000,-0.207000,0.002000
262,-73900.000,18.972000,-77.935000,68.518000,5.414000,0.389000,-0.164000,-0.225000,0.000000
263,-73800.000,21.704000,-79.094000,66.620000,5.228000,0.389000,-0.156000,-0.233000,0.000000
264,-73700.000,24.583000,-80.214000,64.652000,5.119000,0.397000,-0.156000,-0.250000,0.000000
265,-73600.000,27.548000,-81.272000,62.606000,5.049000,0.415000,-0.156000,-0.268000,0.002000
266,-73500.000,30.490000,-82.384000,60.373000,4.808000,0.406000,-0.138000,-0.268000,0.002000
