点号,相对时间(微秒),  1:母线电压Ua(V),  2:母线电压Ub(V),  3:母线电压Uc(V),  4:母线零序电压3Uo(V),  5:降压变高压侧电流Ia(A),  6:降压变高压侧电流Ib(A),  7:降压变高压侧电流Ic(A),  8:降压变高压侧电流3Io(A)
99,-90200.000,-85.757000,39.835000,53.146000,4.108000,0.121000,-0.397000,0.268000,-0.003000
100,-90100.000,-84.862000,37.097000,55.402000,4.349000,0.147000,-0.397000,0.259000,-0.002000
101,-90000.000,-83.819000,34.312000,57.518000,4.559000,0.164000,-0.406000,0.216000,-0.003000
102,-89900.000,-82.660000,31.488000,59.471000,4.738000,0.181000,-0.406000,0.216000,0.000000
103,-89800.000,-81.469000,28.641000,61.252000,4.808000,0.181000,-0.406000,0.199000,-0.002000
104,-89700.000,-80.201000,25.849000,62.971000,4.893000,0.199000,-0.389000,0.190000,0.000000
105,-89600.000,-78.878000,23.157000,64.659000,5.088000,0.190000,-0.380000,0.181000,-0.002000
106,-89500.000,-77.594000,20.512000,66.301000,5.259000,0.173000,-0.363000,0.190000,-0.003000
107,-89400.000,-76.333000,17.914000,67.880000,5.391000,0.181000,-0.363000,0.173000,0.002000
108,-89300.000,-75.181000,15.379000,69.374000,5.461000,0.173000,-0.354000,0.173000,-0.002000
109,-89200.000,-74.037000,12.928000,70.883000,5.562000,0.173000,-0.337000,0.173000,-0.002000
110,-89100.000,-72.932000,10.556000,72.423000,5.718000,0.156000,-0.328000,0.164000,-0.002000
111,-89000.000,-71.866000,8.245000,73.917000,5.873000,0.147000,-0.320000,0.164000,-0.003000
112,-88900.000,-70.831000,5.935000,75.371000,5.967000,0.156000,-0.320000,0.173000,0.000000
113,-88800.000,-69.812000,3.625000,76.795000,6.052000,0.156000,-0.311000,0.173000,-0.002000
114,-88700.000,-68.730000,1.338000,78.234000,6.177000,0.147000,-0.320000,0.173000,0.000000
115,-88600.000,-67.609000,-0.965000,79.650000,6.309000,0.164000,-0.328000,0.147000,0.000000
116,-88500.000,-66.442000,-3.322000,80.995000,6.395000,0.181000,-0.320000,0.138000,-0.002000
117,-88400.000,-65.189000,-5.702000,82.302000,6.504000,0.190000,-0.337000,0.138000,-0.002000
118,-88300.000,-63.835000,-8.105000,83.594000,6.628000,0.190000,-0.337000,0.147000,-0.002000
119,-88200.000,-62.380000,-10.595000,84.807000,6.737000,0.199000,-0.346000,0.130000,-0.003000
120,-88100.000,-60.831000,-13.146000,85.959000,6.830000,0.225000,-0.363000,0.130000,-0.003000
121,-88000.000,-59.197000,-15.783000,87.055000,6.877000,0.251000,-0.372000,0.112000,0.000000
122,-87900.000,-57.415000,-18.474000,88.137000,6.963000,0.259000,-0.380000,0.112000,-0.002000
123,-87800.000,-55.508000,-21.205000,89.171000,7.095000,0.268000,-0.380000,0.104000,0.000000
124,-87700.000,-53.477000,-23.990000,90.120000,7.188000,0.285000,-0.389000,0.095000,0.000000
125,-87600.000,-51.368000,-26.852000,90.922000,7.227000,0.302000,-0.397000,0.069000,-0.002000
126,-87500.000,-49.127000,-29.730000,91.591000,7.235000,0.328000,-0.397000,0.069000,0.000000
127,-87400.000,-46.746000,-32.593000,92.135000,7.266000,0.337000,-0.389000,0.043000,-0.003000
128,-87300.000,-44.194000,-35.393000,92.540000,7.351000,0.371000,-0.380000,0.017000,-0.002000
129,-87200.000,-41.532000,-38.131000,92.719000,7.414000,0.371000,-0.372000,-0.009000,0.000000
130,-87100.000,-38.816000,-40.854000,92.617000,7.336000,0.397000,-0.380000,-0.035000,0.000000
131,-87000.000,-36.015000,-43.483000,92.306000,7.281000,0.397000,-0.354000,-0.060000,-0.003000
132,-86900.000,-33.128000,-45.957000,91.824000,7.219000,0.406000,-0.311000,-0.095000,-0.002000
133,-86800.000,-30.171000,-48.244000,91.178000,7.227000,0.406000,-0.320000,-0.121000,-0.003000
134,-86700.000,-27.245000,-50.391000,90.369000,7.227000,0.406000,-0.285000,-0.130000,-0.002000
135,-86600.000,-24.412000,-52.467000,89.389000,7.071000,0.406000,-0.259000,-0.130000,0.000000
136,-86500.000,-21.649000,-54.412000,88.323000,6.955000,0.406000,-0.242000,-0.147000,-0.002000
137,-86400.000,-18.949000,-56.178000,87.227000,6.846000,0.380000,-0.233000,-0.147000,-0.003000
138,-86300.000,-16.272000,-57.827000,86.184000,6.846000,0.363000,-0.225000,-0.147000,0.000000
139,-86200.000,-13.720000,-59.383000,85.142000,6.830000,0.337000,-0.199000,-0.147000,0.000000
140,-86100.000,-11.323000,-60.954000,84.053000,6.675000,0.346000,-0.199000,-0.155000,-0.002000
141,-86000.000,-9.027000,-62.448000,83.002000,6.550000,0.320000,-0.190000,-0.138000,-0.003000
142,-85900.000,-6.762000,-63.856000,82.046000,6.465000,0.320000,-0.181000,-0.130000,-0.002000
143,-85800.000,-4.529000,-65.186000,81.136000,6.465000,0.302000,-0.181000,-0.130000,-0.002000
144,-85700.000,-2.342000,-66.508000,80.218000,6.434000,0.294000,-0.190000,-0.121000,0.000000
145,-85600.000,-0.226000,-67.862000,79.191000,6.294000,0.302000,-0.173000,-0.121000,-0.002000
146,-85500.000,1.907000,-69.176000,78.164000,6.192000,0.311000,-0.173000,-0.138000,0.000000
147,-85400.000,4.093000,-70.444000,77.114000,6.099000,0.311000,-0.173000,-0.138000,-0.002000
148,-85300.000,6.373000,-71.658000,75.986000,6.068000,0.320000,-0.164000,-0.155000,-0.002000
149,-85200.000,8.708000,-72.887000,74.749000,5.982000,0.337000,-0.164000,-0.164000,-0.002000
150,-85100.000,11.074000,-74.123000,73.372000,5.835000,0.354000,-0.164000,-0.173000,-0.002000
151,-85000.000,13.502000,-75.337000,71.878000,5.679000,0.354000,-0.156000,-0.190000,-0.002000
152,-84900.000,16.046000,-76.535000,70.315000,5.554000,0.363000,-0.173000,-0.216000,-0.002000
153,-84800.000,18.708000,-77.694000,68.650000,5.484000,0.371000,-0.156000,-0.216000,-0.003000
154,-84700.000,21.408000,-78.837000,66.884000,5.344000,0.380000,-0.156000,-0.233000,0.000000
155,-84600.000,24.178000,-80.012000,64.978000,5.181000,0.397000,-0.156000,-0.242000,-0.003000
156,-84500.000,26.996000,-81.163000,62.948000,4.971000,0.406000,-0.164000,-0.268000,0.000000
157,-84400.000,29.898000,-82.268000,60.863000,4.815000,0.397000,-0.138000,-0.250000,-0.002000
158,-84300.000,32.840000,-83.279000,58.693000,4.668000,0.406000,-0.138000,-0.276000,-0.002000
159,-84200.000,35.758000,-84.236000,56.414000,4.496000,0.397000,-0.112000,-0.294000,-0.002000
160,-84100.000,38.645000,-85.076000,53.994000,4.310000,0.397000,-0.095000,-0.302000,0.000000
161,-84000.000,41.509000,-85.776000,51.497000,4.108000,0.397000,-0.078000,-0.320000,0.000000
162,-83900.000,44.271000,-86.289000,48.899000,3.897000,0.371000,-0.052000,-0.337000,0.000000
163,-83800.000,46.917000,-86.632000,46.200000,3.672000,0.354000,-0.017000,-0.337000,-0.003000
164,-83700.000,49.423000,-86.764000,43.384000,3.438000,0.337000,0.000000,-0.354000,-0.002000
165,-83600.000,51.797000,-86.678000,40.537000,3.205000,0.320000,0.017000,-0.363000,-0.003000
166,-83500.000,54.022000,-86.367000,37.666000,3.018000,0.294000,0.086000,-0.371000,0.000000
167,-83400.000,56.053000,-85.862000,34.765000,2.793000,0.259000,0.086000,-0.354000,-0.002000
168,-83300.000,57.859000,-85.231000,31.847000,2.521000,0.242000,0.112000,-0.363000,0.000000
169,-83200.000,59.501000,-84.469000,28.969000,2.256000,0.216000,0.138000,-0.345000,-0.003000
170,-83100.000,61.049000,-83.567000,26.200000,2.093000,0.181000,0.147000,-0.354000,0.000000
171,-83000.000,62.442000,-82.587000,23.501000,1.906000,0.181000,0.147000,-0.337000,0.000000
172,-82900.000,63.757000,-81.568000,20.848000,1.719000,0.164000,0.164000,-0.337000,-0.002000
173,-82800.000,64.917000,-80.572000,18.219000,1.463000,0.156000,0.147000,-0.320000,-0.002000
174,-82700.000,66.037000,-79.584000,15.683000,1.198000,0.156000,0.147000,-0.311000,-0.002000
175,-82600.000,67.181000,-78.542000,13.263000,1.081000,0.156000,0.147000,-0.311000,-0.003000
176,-82500.000,68.294000,-77.523000,10.852000,0.910000,0.147000,0.147000,-0.294000,-0.003000
177,-82400.000,69.407000,-76.543000,8.425000,0.731000,0.156000,0.147000,-0.294000,-0.003000
178,-82300.000,70.473000,-75.594000,5.959000,0.482000,0.156000,0.147000,-0.328000,-0.002000
179,-82200.000,71.594000,-74.629000,3.477000,0.233000,0.156000,0.147000,-0.311000,0.000000
180,-82100.000,72.777000,-73.587000,0.996000,0.093000,0.164000,0.164000,-0.337000,-0.002000
181,-82000.000,73.959000,-72.513000,-1.571000,-0.078000,0.173000,0.156000,-0.328000,-0.002000
182,-81900.000,75.205000,-71.432000,-4.224000,-0.257000,0.173000,0.164000,-0.337000,-0.002000
183,-81800.000,76.372000,-70.351000,-6.978000,-0.545000,0.173000,0.164000,-0.345000,0.000000
184,-81700.000,77.570000,-69.200000,-9.802000,-0.832000,0.173000,0.181000,-0.354000,0.000000
185,-81600.000,78.800000,-67.908000,-12.618000,-0.988000,0.181000,0.173000,-0.371000,-0.002000
186,-81500.000,80.006000,-66.563000,-15.527000,-1.190000,0.164000,0.190000,-0.363000,-0.003000
187,-81400.000,81.181000,-65.147000,-18.483000,-1.393000,0.164000,0.207000,-0.380000,-0.002000
188,-81300.000,82.263000,-63.716000,-21.556000,-1.696000,0.156000,0.225000,-0.380000,0.000000
189,-81200.000,83.290000,-62.168000,-24.644000,-1.999000,0.147000,0.233000,-0.397000,0.000000
190,-81100.000,84.302000,-60.448000,-27.701000,-2.170000,0.147000,0.242000,-0.389000,0.000000
191,-81000.000,85.212000,-58.667000,-30.743000,-2.388000,0.112000,0.259000,-0.389000,0.000000
192,-80900.000,85.975000,-56.769000,-33.800000,-2.606000,0.104000,0.285000,-0.389000,-0.002000
193,-80800.000,86.543000,-54.801000,-36.849000,-2.909000,0.078000,0.294000,-0.371000,-0.003000
194,-80700.000,86.924000,-52.693000,-39.829000,-3.197000,0.035000,0.311000,-0.371000,0.000000
195,-80600.000,87.150000,-50.414000,-42.668000,-3.368000,0.009000,0.328000,-0.337000,0.000000
196,-80500.000,87.150000,-47.979000,-45.375000,-3.547000,-0.009000,0.354000,-0.328000,-0.002000
197,-80400.000,86.901000,-45.459000,-48.028000,-3.750000,-0.069000,0.363000,-0.320000,0.000000
198,-80300.000,86.379000,-42.845000,-50.548000,-4.006000,-0.104000,0.389000,-0.302000,-0.003000
199,-80200.000,85.679000,-40.138000,-52.929000,-4.201000,-0.121000,0.397000,-0.285000,-0.002000
200,-80100.000,84.792000,-37.330000,-55.091000,-4.364000,-0.147000,0.397000,-0.268000,0.000000
201,-80000.000,83.757000,-34.499000,-57.122000,-4.473000,-0.173000,0.415000,-0.250000,-0.002000
202,-79900.000,82.590000,-31.652000,-59.074000,-4.629000,-0.181000,0.415000,-0.233000,-0.002000
203,-79800.000,81.298000,-28.843000,-60.918000,-4.815000,-0.181000,0.406000,-0.225000,-0.002000
204,-79700.000,80.006000,-26.043000,-62.645000,-4.940000,-0.190000,0.397000,-0.207000,0.000000
205,-79600.000,78.706000,-23.274000,-64.309000,-5.049000,-0.190000,0.389000,-0.199000,0.000000
206,-79500.000,77.399000,-20.614000,-65.982000,-5.236000,-0.181000,0.389000,-0.207000,-0.002000
207,-79400.000,76.162000,-17.977000,-67.584000,-5.360000,-0.181000,0.372000,-0.199000,-0.002000
208,-79300.000,74.987000,-15.417000,-69.148000,-5.453000,-0.164000,0.354000,-0.199000,-0.002000
209,-79200.000,73.889000,-12.944000,-70.704000,-5.562000,-0.147000,0.346000,-0.190000,-0.002000
210,-79100.000,72.792000,-10.556000,-72.275000,-5.710000,-0.138000,0.328000,-0.199000,-0.002000
211,-79000.000,71.726000,-8.230000,-73.831000,-5.881000,-0.147000,0.311000,-0.190000,-0.002000
212,-78900.000,70.722000,-5.904000,-75.340000,-5.998000,-0.138000,0.328000,-0.199000,0.000000
213,-78800.000,69.734000,-3.609000,-76.795000,-6.068000,-0.138000,0.328000,-0.173000,-0.002000
214,-78700.000,68.730000,-1.307000,-78.249000,-6.161000,-0.147000,0.337000,-0.181000,0.000000
215,-78600.000,67.633000,0.972000,-79.681000,-6.309000,-0.156000,0.320000,-0.181000,-0.003000
216,-78500.000,66.450000,3.259000,-81.058000,-6.449000,-0.173000,0.337000,-0.173000,0.000000
217,-78400.000,65.244000,5.593000,-82.372000,-6.574000,-0.173000,0.337000,-0.164000,0.000000
218,-78300.000,63.944000,8.020000,-83.594000,-6.620000,-0.173000,0.346000,-0.155000,0.000000
219,-78200.000,62.551000,10.509000,-84.761000,-6.659000,-0.190000,0.346000,-0.155000,-0.002000
220,-78100.000,60.979000,12.975000,-85.920000,-6.823000,-0.225000,0.363000,-0.138000,-0.002000
221,-78000.000,59.298000,15.534000,-87.024000,-6.947000,-0.233000,0.363000,-0.130000,-0.002000
222,-77900.000,57.508000,18.163000,-88.067000,-7.040000,-0.251000,0.372000,-0.130000,-0.002000
223,-77800.000,55.641000,20.948000,-88.992000,-7.056000,-0.259000,0.389000,-0.112000,0.000000
224,-77700.000,53.649000,23.764000,-89.848000,-7.064000,-0.294000,0.389000,-0.095000,-0.003000
225,-77600.000,51.470000,26.564000,-90.680000,-7.196000,-0.294000,0.389000,-0.086000,-0.002000
226,-77500.000,49.174000,29.372000,-91.404000,-7.297000,-0.320000,0.406000,-0.095000,-0.002000
227,-77400.000,46.762000,32.227000,-91.964000,-7.367000,-0.328000,0.397000,-0.060000,0.000000
228,-77300.000,44.287000,35.121000,-92.267000,-7.313000,-0.354000,0.380000,-0.043000,-0.002000
229,-77200.000,41.664000,37.937000,-92.400000,-7.266000,-0.371000,0.380000,-0.009000,-0.003000
230,-77100.000,38.879000,40.628000,-92.407000,-7.328000,-0.380000,0.372000,0.017000,0.000000
231,-77000.000,36.015000,43.211000,-92.205000,-7.367000,-0.397000,0.346000,0.035000,-0.002000
232,-76900.000,33.143000,45.700000,-91.754000,-7.344000,-0.397000,0.328000,0.078000,-0.002000
233,-76800.000,30.279000,48.119000,-91.085000,-7.211000,-0.415000,0.311000,0.086000,-0.002000
234,-76700.000,27.408000,50.344000,-90.268000,-7.095000,-0.397000,0.285000,0.104000,0.000000
235,-76600.000,24.536000,52.390000,-89.420000,-7.095000,-0.397000,0.277000,0.121000,0.000000
236,-76500.000,21.719000,54.264000,-88.471000,-7.048000,-0.380000,0.251000,0.138000,-0.002000
237,-76400.000,19.019000,56.085000,-87.413000,-6.970000,-0.371000,0.225000,0.130000,-0.002000
238,-76300.000,16.459000,57.804000,-86.301000,-6.830000,-0.354000,0.225000,0.130000,0.000000
239,-76200.000,13.953000,59.422000,-85.243000,-6.721000,-0.346000,0.216000,0.138000,-0.002000
240,-76100.000,11.494000,60.931000,-84.224000,-6.690000,-0.328000,0.199000,0.121000,-0.003000
241,-76000.000,9.136000,62.362000,-83.244000,-6.659000,-0.320000,0.190000,0.130000,-0.002000
242,-75900.000,6.879000,63.778000,-82.248000,-6.574000,-0.320000,0.190000,0.112000,0.000000
243,-75800.000,4.693000,65.162000,-81.229000,-6.441000,-0.328000,0.181000,0.112000,-0.002000
244,-75700.000,2.506000,66.500000,-80.249000,-6.379000,-0.302000,0.181000,0.112000,-0.002000
245,-75600.000,0.319000,67.799000,-79.237000,-6.301000,-0.311000,0.181000,0.130000,-0.002000
246,-75500.000,-1.899000,69.059000,-78.211000,-6.255000,-0.302000,0.164000,0.138000,-0.002000
247,-75400.000,-4.109000,70.327000,-77.067000,-6.161000,-0.320000,0.173000,0.130000,-0.003000
248,-75300.000,-6.405000,71.572000,-75.854000,-6.037000,-0.337000,0.164000,0.147000,-0.002000
249,-75200.000,-8.755000,72.817000,-74.562000,-5.936000,-0.337000,0.164000,0.164000,-0.002000
250,-75100.000,-11.167000,74.030000,-73.193000,-5.827000,-0.337000,0.164000,0.173000,0.000000
251,-75000.000,-13.611000,75.251000,-71.692000,-5.702000,-0.363000,0.173000,0.173000,-0.003000
252,-74900.000,-16.163000,76.449000,-70.097000,-5.554000,-0.354000,0.164000,0.190000,-0.002000
253,-74800.000,-18.809000,77.616000,-68.456000,-5.461000,-0.371000,0.164000,0.190000,-0.002000
254,-74700.000,-21.525000,78.775000,-66.713000,-5.337000,-0.389000,0.164000,0.207000,-0.002000
255,-74600.000,-24.280000,79.957000,-64.815000,-5.173000,-0.389000,0.156000,0.225000,0.000000
256,-74500.000,-27.066000,81.117000,-62.831000,-4.994000,-0.397000,0.147000,0.225000,0.000000
257,-74400.000,-29.922000,82.229000,-60.786000,-4.800000,-0.389000,0.147000,0.242000,-0.002000
258,-74300.000,-32.848000,83.248000,-58.662000,-4.683000,-0.397000,0.130000,0.250000,-0.002000
259,-74200.000,-35.766000,84.181000,-56.453000,-4.551000,-0.406000,0.130000,0.259000,-0.002000
260,-74100.000,-38.606000,85.045000,-54.064000,-4.325000,-0.389000,0.104000,0.285000,-0.005000
261,-74000.000,-41.384000,85.784000,-51.583000,-4.084000,-0.389000,0.078000,0.285000,-0.002000
262,-73900.000,-44.124000,86.336000,-49.008000,-3.843000,-0.380000,0.052000,0.302000,-0.002000
